Price,Close,High,Low,Open,Volume,Date,Return,Daily_Range,MA_7,MA_30,Volatility_7,Year,Month,DayOfWeek,Lag_1,Lag_7,Volume_MA_7
2025-05-06,23.549724578857425,23.98854007347004,23.237678831550397,23.491216466222195,215100,2025-05-06,0.0033235987374551357,0.7508612419196439,23.6082341330392,23.580168279012046,0.011355220762007193,2025,5,1,23.47171401977539,24.33959197998047,250171.42857142858
2025-05-07,23.286434173583984,23.608231567668238,22.8281172365365,23.608231567668238,320500,2025-05-07,-0.011180190426083314,0.7801143311317382,23.54275975908552,23.448450152079264,0.008159502227489027,2025,5,2,23.549724578857425,23.74475479125977,257142.85714285713
2025-05-08,20.19522857666016,22.506320357976552,19.263966258816943,21.170372442880872,1030100,2025-05-08,-0.13274705667175413,3.242354099159609,23.07190431867327,23.232701047261557,0.05017745483155144,2025,5,3,23.286434173583984,23.4912166595459,357014.28571428574
2025-05-09,21.05335807800293,21.23863594971463,19.67352849278969,20.458519671946117,788000,2025-05-09,0.042491695406434715,1.5651074569249417,22.686025891985214,23.019136746724445,0.05463521445662446,2025,5,4,20.19522857666016,23.754507064819336,445057.14285714284
2025-05-12,21.3068962097168,22.184525414568984,20.677927899929244,21.726208416241832,351200,2025-05-12,0.012042645680300001,1.50659751463974,22.355870110648024,22.877172978719077,0.05558204823090023,2025,5,0,21.05335807800293,23.61798667907715,470000.0
2025-05-13,22.03825187683105,22.14941859069697,21.1801242279968,21.57018326470655,388900,2025-05-13,0.03432483360860061,0.9692943627001718,22.128801073346818,22.794384256998697,0.0583721387038995,2025,5,1,21.3068962097168,23.627735137939453,488257.14285714284
2025-05-14,21.33614921569824,22.126017169461548,21.267889435483035,22.038254063487848,357200,2025-05-14,-0.03185836449536805,0.8581277339785132,21.823720387050084,22.692380650838217,0.0590240804754508,2025,5,2,22.03825187683105,23.47171401977539,493000.0
2025-05-15,20.653549194335938,21.21425585059268,20.453644758637537,21.209380949207613,270700,2025-05-15,-0.031992653147554506,0.7606110919551412,21.40998104640416,22.566657129923502,0.05901098295476026,2025,5,3,21.33614921569824,23.549724578857425,500942.85714285716
2025-05-16,20.8973331451416,20.955841255756315,20.42731346401777,20.653547180984447,209100,2025-05-16,0.01180348948802079,0.5285277917385436,21.068680899483816,22.515430959065757,0.06001881919014547,2025,5,4,20.653549194335938,23.286434173583984,485028.5714285714
2025-05-19,20.546281814575195,20.83394934142122,20.44389215076713,20.712056353095605,153000,2025-05-19,-0.016798857927382116,0.3900571906540904,21.118831362043107,22.48246676127116,0.030363237017140783,2025,5,0,20.8973331451416,20.19522857666016,359728.5714285714
2025-05-20,20.487775802612305,20.673053684656203,20.40001269321991,20.56578724874559,219500,2025-05-20,-0.002847523094002713,0.273040991436293,21.038033894130162,22.48621514638265,0.024831782597497763,2025,5,1,20.546281814575195,21.05335807800293,278514.28571428574
